phrase,target,file_path
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006",positive,files/input/train\positive\0000.txt
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009",positive,files/input/train\positive\0001.txt
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005,positive,files/input/train\positive\0002.txt
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR",positive,files/input/train\positive\0003.txt
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year",positive,files/input/train\positive\0004.txt
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group",positive,files/input/train\positive\0005.txt
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil",positive,files/input/train\positive\0006.txt
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland",positive,files/input/train\positive\0007.txt
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year,positive,files/input/train\positive\0008.txt
The bank sees a potential for Getinge share to rise,positive,files/input/train\positive\0009.txt
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million",positive,files/input/train\positive\0010.txt
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ),positive,files/input/train\positive\0011.txt
"Thus the method will cut working costs , and will fasten the planning and building processes",positive,files/input/train\positive\0012.txt
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009,positive,files/input/train\positive\0013.txt
"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide",positive,files/input/train\positive\0014.txt
"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004",positive,files/input/train\positive\0015.txt
"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland",positive,files/input/train\positive\0016.txt
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009",positive,files/input/train\positive\0017.txt
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian t",positive,files/input/train\positive\0018.txt
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004,positive,files/input/train\positive\0019.txt
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters",positive,files/input/train\positive\0020.txt
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006,positive,files/input/train\positive\0021.txt
"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia",positive,files/input/train\positive\0022.txt
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009",positive,files/input/train\positive\0023.txt
Clothing chain Sepp+ï¿½l+ï¿½ 's net sales increased by 7.0 % to EUR 30.8 mn,positive,files/input/train\positive\0024.txt
Finnish Outokumpu Technology has been awarded several new grinding technology contracts,positive,files/input/train\positive\0025.txt
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 %,positive,files/input/train\positive\0026.txt
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said",positive,files/input/train\positive\0027.txt
Both the net sales and operating profit were record high in the company 's history,positive,files/input/train\positive\0028.txt
` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC,positive,files/input/train\positive\0029.txt
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009",positive,files/input/train\positive\0030.txt
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005,positive,files/input/train\positive\0031.txt
